grib_message,start_byte,end_byte,range,reference_time,valid_time,variable,level,forecast_time,?,??,???,search_this
50,50306616,50774982.0,50306616-50774982,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",40% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:40% level:"
51,50774983,51243349.0,50774983-51243349,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",50% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:50% level:"
52,51243350,51711762.0,51243350-51711762,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",60% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:60% level:"
53,51711763,52180366.0,51711763-52180366,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",70% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:70% level:"
54,52180367,52649030.0,52180367-52649030,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",75% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:75% level:"
55,52649031,53117726.0,52649031-53117726,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",80% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:80% level:"
56,53117727,53596245.0,53117727-53596245,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",90% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:90% level:"
57,53596246,54077477.0,53596246-54077477,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",95% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:95% level:"
58,54077478,54561830.0,54077478-54561830,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,"18-24 hour acc@(fcst,dt=6 hour),missing=0",99% level,,,":FICEAC:surface:18-24 hour acc@(fcst,dt=6 hour),missing=0:99% level:"
59,54561831,55037778.0,54561831-55037778,2026-05-17 06:00:00,2026-05-18 06:00:00,FICEAC,surface,18-24 hour acc fcst,prob >0.254,prob fcst 255/255,,:FICEAC:surface:18-24 hour acc fcst:prob >0.254:prob fcst 255/255:
