9/4,None,96,93,71,<71
9/5,None,96,93,71,<71
9/6,None,96,93,71,<71
9/7,None,96,93,71,<71
9/8,None,96,93,71,<71
9/9,None,96,93,71,<71
9/10,None,96,93,71,<71
9/11,None,96,93,71,<71
9/12,None,96,92,71,<71
9/13,None,96,92,71,<71
9/14,None,96,92,71,<71
9/15,None,96,92,71,<71
9/16,None,96,92,71,<71
9/17,None,96,92,71,<71
9/18,None,96,92,71,<71
9/19,None,96,92,71,<71
9/20,None,96,91,71,<71
9/21,None,96,91,71,<71
9/22,None,96,91,71,<71
9/23,None,96,91,71,<71
9/24,None,96,91,71,<71
9/25,None,96,91,71,<71
9/26,None,96,91,71,<71
9/27,None,96,90,71,<71
9/28,None,96,90,71,<71
9/29,None,96,90,71,<71
9/30,None,96,90,71,<71
10/1,None,96,90,71,<71
10/2,None,96,90,71,<71
10/3,None,96,90,71,<71
10/4,None,96,90,71,<71
10/5,None,96,90,71,<71
10/6,None,96,90,71,<71
10/7,None,96,90,71,<71
10/8,None,96,90,71,<71
10/9,None,96,90,71,<71
10/10,None,96,90,71,<71
10/11,None,96,90,71,<71
10/12,None,96,90,71,<71
10/13,None,96,90,71,<71
10/14,None,96,90,71,<71
10/15,None,96,90,71,<71
10/16,None,96,90,71,<71
10/17,None,96,90,71,<71
10/18,None,96,90,71,<71
10/19,None,96,90,71,<71
10/20,None,96,90,71,<71
10/21,None,96,90,71,<71
10/22,None,96,90,71,<71
10/23,None,96,90,71,<71
10/24,None,96,90,71,<71
10/25,None,96,90,71,<71
10/26,None,96,90,71,<71
10/27,None,96,90,71,<71
10/28,None,96,90,71,<71
10/29,None,96,90,71,<71
10/30,None,96,90,71,<71
10/31,None,96,90,71,<71
11/1,None,96,90,71,<71
11/2,None,96,90,71,<71
11/3,None,96,90,71,<71
11/4,None,96,90,71,<71
11/5,None,96,90,71,<71
11/6,None,96,90,71,<71
11/7,None,96,90,71,<71
11/8,None,96,90,71,<71
11/9,None,96,90,71,<71
11/10,None,96,90,71,<71
11/11,None,96,90,71,<71
11/12,None,96,90,71,<71
11/13,None,96,90,71,<71
11/14,None,96,90,71,<71
11/15,None,96,90,71,<71
11/16,None,96,90,71,<71
11/17,None,96,90,71,<71
11/18,None,96,90,71,<71
11/19,None,96,90,71,<71
11/20,None,96,90,71,<71
11/21,None,96,90,71,<71
11/22,None,96,90,71,<71
11/23,None,96,90,71,<71
11/24,None,96,90,71,<71
11/25,None,96,90,71,<71
11/26,None,96,90,71,<71
11/27,None,96,90,71,<71
11/28,None,96,90,71,<71
11/29,None,96,90,71,<71
11/30,None,96,90,71,<71
12/1,None,96,90,71,<71
12/2,None,96,90,71,<71
12/3,None,96,90,71,<71
12/4,None,96,90,71,<71
12/5,None,96,90,71,<71
12/6,None,96,90,71,<71
12/7,None,96,90,71,<71
12/8,None,96,90,71,<71
12/9,None,96,90,71,<71
12/10,None,96,90,71,<71
12/11,None,96,90,71,<71
12/12,None,96,90,71,<71
12/13,None,96,90,71,<71
12/14,None,96,90,71,<71
12/15,None,96,90,71,<71
12/16,None,96,90,71,<71
12/17,None,96,90,71,<71
12/18,None,96,90,71,<71
12/19,None,96,90,71,<71
12/20,None,96,90,71,<71
12/21,None,96,90,71,<71
12/22,None,96,90,71,<71
12/23,None,96,90,71,<71
12/24,None,96,90,71,<71
12/25,None,96,90,71,<71
12/26,None,96,90,71,<71
12/27,None,96,90,71,<71
12/28,None,96,90,71,<71
12/29,None,96,90,71,<71
12/30,None,96,90,71,<71
12/31,None,96,90,71,<71
